parent_symbol,child_symbol,beta,PIP,LFSR
SETDB1,ATXN7L3,0.00159255367623042,0.0,0.315
SON,ATXN7L3,-0.00126453049228576,0.0,0.37
SP110,ATXN7L3,0.000449109326541857,0.0,0.358
SREBF1,ATXN7L3,0.0115727333186673,0.0,0.0
STAT1,ATXN7L3,-0.0314461944516321,0.0,0.0
STAT2,ATXN7L3,0.00802850224994824,0.0,0.0
STAT3,ATXN7L3,0.00944411829312745,0.0,0.0
STAT5A,ATXN7L3,-0.0041860276076729,0.0,0.0
STAT5B,ATXN7L3,0.000626771344587601,0.0,0.3155
TBX21,ATXN7L3,0.00292793136494531,0.0,0.0
TCF3,ATXN7L3,0.00126777319124742,0.0,0.312
TET2,ATXN7L3,0.00222319941282837,0.0,0.318
TNFAIP3,ATXN7L3,0.00571556387136386,0.0,0.0
TP53,ATXN7L3,0.000763063061835459,0.0,0.373
TTF1,ATXN7L3,0.00645417708761834,0.0,0.0005
YBX1,ATXN7L3,0.00653532098874064,0.0,0.0
YBX3,ATXN7L3,-0.003676398517218,0.0,0.0
YY1,ATXN7L3,0.000193151972116672,0.0,0.3695
ZBTB14,ATXN7L3,-0.020943214447439,0.0,0.0
ZBTB24,ATXN7L3,0.00184910217742833,0.0,0.361
ZFP3,ATXN7L3,0.000800965335117737,0.0,0.3155
ZKSCAN1,ATXN7L3,-0.00187159599701906,0.0,0.373
ZNF217,ATXN7L3,0.000943720997295847,0.0,0.315
ZNF319,ATXN7L3,0.00123629016694786,0.0,0.3235
ZNF329,ATXN7L3,-0.00392225307850623,0.0,0.0
ZNF331,ATXN7L3,0.0077081446481475,0.0,0.0
ZNF341,ATXN7L3,-0.000473608509785645,0.0,0.0035
ZNF575,ATXN7L3,0.00602051855600738,0.0,0.0
ZNF655,ATXN7L3,0.00332381016661914,0.0,0.046
ZNF708,ATXN7L3,0.00393028027256696,0.0,0.003
ZNF791,ATXN7L3,0.00305881166956337,0.0,0.312
AIRE,BACH2,-0.00250854012821564,0.0,0.0
AKAP8,BACH2,-0.00220797482468509,0.0,0.3695
ARID5A,BACH2,-0.000536341129137463,0.0,0.0035
ATMIN,BACH2,-0.00298849105958247,0.0,0.0
ATXN7L3,BACH2,0.0129948520247335,0.0,0.0
BCL11B,BACH2,-0.00442064013293023,0.0,0.0
BPTF,BACH2,0.00208158952377528,0.0,0.049
CBFB,BACH2,0.0144192462618478,0.0,0.0
CLOCK,BACH2,-0.000409277971604074,0.0,0.3155
DR1,BACH2,-0.000179384312666793,0.0,0.3695
EGR3,BACH2,0.00438743040540099,0.0,0.0
ELK4,BACH2,-0.00126754416812639,0.0,0.315
EPAS1,BACH2,-0.00198974190689533,0.0,0.373
ETS1,BACH2,-0.0241437323385816,0.0,0.0
FOXK1,BACH2,-0.00286204964722718,0.0,0.049
FOXP1,BACH2,0.00390625788188756,0.0,0.0
FOXP3,BACH2,-0.000487018258486601,0.0,0.3265
GATA3,BACH2,-0.000522147915543419,0.0,0.3725
GFI1,BACH2,0.00328762000248701,0.0,0.046
HIVEP2,BACH2,0.00609811432217898,0.0,0.046
HIVEP3,BACH2,-0.00307658119355538,0.0,0.327
IKZF1,BACH2,-0.00872646297655402,0.0,0.003
IL2RA,BACH2,-0.0090004278506571,0.0,0.0
IRF1,BACH2,-0.00271617872202181,0.0,0.049
IRF2,BACH2,-0.000677867264701606,0.0,0.3235
IRF3,BACH2,0.000482035683479736,0.0,0.315
IRF4,BACH2,-0.0457506278028175,0.0,0.0
IRF7,BACH2,0.00582584593455763,0.0,0.0
IRF8,BACH2,0.0015074441118719,0.0,0.3235
IRF9,BACH2,-0.00415984069847615,0.0,0.0
JAK3,BACH2,-0.00194994817992858,0.0,0.3585
KLF2,BACH2,0.00733395983952898,0.0,0.0
KLF9,BACH2,0.00417818079586155,0.0,0.046
KMT2A,BACH2,-0.00229417735175275,0.0,0.0465
